Place,Year
"Barbaro (Corte, Fondamenta, Ramo, Fondamenta, Calle)  a S. Vitale.",1655
"Barbaro (Corte, Fondamenta, Ramo, Fondamenta, Calle)  a S. Vitale.",1656
"Barbaro (Corte, Fondamenta, Ramo, Fondamenta, Calle)  a S. Vitale.",1667
"Barbaro (Corte, Fondamenta, Ramo, Fondamenta, Calle)  a S. Vitale.",1670
"Barbaro (Corte, Fondamenta, Ramo, Fondamenta, Calle)  a S. Vitale.",1679
"Barbaro (Corte, Fondamenta, Ramo, Fondamenta, Calle)  a S. Vitale.",1694
"Barbaro (Corte, Fondamenta, Ramo, Fondamenta, Calle)  a S. Vitale.",1698
Barbier (Sottoportico del)  in Cannaregio.,1268
Barbier (Sottoportico del)  in Cannaregio.,1509
Barbier (Sottoportico del)  in Cannaregio.,1657
"Barbo (Ramo Corte, Corte, Ramo Corte seconda)  a S. Pantaleone.",1188
"Barbo (Ramo Corte, Corte, Ramo Corte seconda)  a S. Pantaleone.",1372
"Barbo (Ramo Corte, Corte, Ramo Corte seconda)  a S. Pantaleone.",1379
"Barbo (Ramo Corte, Corte, Ramo Corte seconda)  a S. Pantaleone.",1437
"Barbo (Ramo Corte, Corte, Ramo Corte seconda)  a S. Pantaleone.",1550
Barcaroli (Ponte dei).,1827
Barcaroli (Ponte dei).,1851
"Baretteri (Ponte, Rio dei)  a S. Salvatore.",1315
"Baretteri (Ponte, Rio dei)  a S. Salvatore.",1350
"Baretteri (Ponte, Rio dei)  a S. Salvatore.",1379
"Baretteri (Ponte, Rio dei)  a S. Salvatore.",1450
"Baretteri (Ponte, Rio dei)  a S. Salvatore.",1508
"Baretteri (Ponte, Rio dei)  a S. Salvatore.",1650
"Baretteri (Ponte, Rio dei)  a S. Salvatore.",1741
"Baretteri (Ponte, Rio dei)  a S. Salvatore.",1772
"Baretteri (Ponte, Rio dei)  a S. Salvatore.",1773
"Bari (Calle Larga, Lista Vecchia dei)  a S. Simeon Grande.",1201
"Barzizza (Corte, Ramo)  a S. Silvestro.",1694
Basegò (Calle e Corte del)  al Malcanton.,1436
Basegò (Calle e Corte del)  al Malcanton.,1530
Basegò (Calle e Corte del)  al Malcanton.,1684
Bastion (Calle)  a S. Martino.,1713
Bastion (Calle)  a S. Martino.,1767
Bastion (Calle)  a S. Martino.,1773
Bastion (Calle)  a S. Martino.,1796
"Battagia (Calle, Ramo, Corte, Ramo)  in «Birri»,  a S. Canciano.",1500
"Battagia (Calle, Ramo, Corte, Ramo)  in «Birri»,  a S. Canciano.",1667
"Battagia (Calle, Ramo, Corte, Ramo)  in «Birri»,  a S. Canciano.",1711
Battocchio (Sottoportico e Corte del) ai Tolentini.,1514
"Beccarie (Calle , Campo, Ponte, Rio, Calle delle)  a Rialto.",1249
"Beccarie (Calle , Campo, Ponte, Rio, Calle delle)  a Rialto.",1250
"Beccarie (Calle , Campo, Ponte, Rio, Calle delle)  a Rialto.",1310
