Abate
Case Nuove detta Boldù
Casin
Casselleria
Cassetti
Castagna
Castel Cimesin
Castel Forte
Castelli
Castello
Casón
Catapàn
Catecumeni
Catene
Catullo
Caustico
Cavagnis
Cavall i
Cavallerizza
Cavalletto
Cavallo
Cavanella
Cavanis
Cazza
Cazziola
Ca’ Balà
Ca’ Gritti
Ca’ Lipoli
Ca’ Matta
Ca’ Memo
Ca’ Pozzo
Ca’ Rampani
Ca’ di Dio
Ca’ d’Oro
Cedrera detta Masquadra
Celestia
Celsi
Cendai
Cendon
Cenere
Centani
Cento Pietre
Cerchieri
Cereri
Cereria
Ceresa
Cerva
Cesare Battisti
Chiara
Chiesa
Chiovere
Chioverette
Chiuso
Cicogna
Cicogna Emmanuele
Cimesin
Cimitero
Cinque
Civràn
Clero
Coco detta del Remer
Codognola
Coletti
Collalto
Colomba
Colombina
Colombo
Colonna
Colonne
Colonnella
Colonnette
Colori
Coltrera
Comare
Comello
Condulmer
Confraternita
Console
Consorti
Consorzi
Contarina
Contarini
Contarini Corfù
Contarini del Bovo lo
Contarini o del Botter
Conterie
Convento
Convertite
Coppo
Coppo o del Forno
Corali
Coralli e Bollani
Corazzeri
Corbetto
Cordaria
Cordellina
Cordoni
Coreggio
Corelie
Corfù
Corner
Corner Flaminio
Corner Zaguri
Corner o del Magazen
Corona
Corpus Domini
Corrente
Correr
Correra
Corte
Cortellotti
Cortese
Cortesia
Cossetti
Costantina
Crea
Cremonese
Creta
Cristi
Cristo
Croce
Crociera
Crociferi
Crosera
Crosetta
Crotta
Cuoridoro
Curnis
Da Mezzo
Da Mosto
Da Mula
Da Ponte
Dai
Dalla Bolza
Dandolo o Civràn
Daniele Canal
Daniele Manin
Dario
De Cadonici
Degolin
Delfina
Diamanter
Diamanti
Diavolo
Diedo
Do Porte
Do Pozzi
Dogana
Dogana da Terra
Dolena atorno il Brusà
Dolera
Dolfin
Donna onesta
Donzella
Donà
Donà o del Spezier
Dorsoduro
Dose
Dragan
Drasi
Drazzi
Duca
Due Aprile
Due Capitelli
Due Corti
Due Mori
Due Ponti
Due Porte
Due Pozzi
Due Torri
Duodo o Barbarigo
Dàndolo
Dòaneta
Dòdolo
Emmanuele Cicogna
Emo Flaminio Corner
Era Flangini
Erbarol
Erbe
Erberia
Eremite
Èrizzo
Èrizzo o delle Belle Donne
Fabbri
Fabbrica dei tabacchi
Fabbriche
Fabbro o della Malvasia
Facchini
Falcon
Falcona
Falier
Fanese
Faraon
Farsetti
Fava
Feltrina
Felzi
Felzèr
Fenice
Ferali
Feraù
Ferrando
Ferretta
Ferro
Fica Frari
Fico Fraterna
Figaretto
Figher
Figheretto
Filatojo
Filosi
Finetta
Fioravante
Fiorenzuola
Fiori
Fiubera
Fondamenta
Fondamente nove
Fontana
Fonte
Fonteghetto
Fontego
Fontego dei Tedesch i Gallina
Fontego dei Turchi
Formagier
Formenta
Fornace
Fornaci
Forni
Forno
Forno detta Salizzada
Forno o del Piombo
Forno o del Teatro
Forno vecchio
Fornèr
Fornèr o del Marangon
Foscara
Foscari
Foscarini
Foscarini Marco
Foscolo Ugo
Fossa Capara
Franceschi
Franchi
Frati
Frescada
Frezzarìa
Friziera
Fruttarol detta Lanza
Fruttarol detto Della Malvasia
Fruttaròl
Fumo
Furlane
Furlani
Furàtola
Fuseri
Gabriela
Galeazza
Galizzi
Gallicciolli
Gallipoli
Gallizzi
Galliòn
Gallo
Gambara
Garibaldi
Garzoni
Garzotti
Gasparo Contarini
Gatte
Gesuati
Gesuiti
Gesù e Maria
Gheltof
Gherardi
Gherardini
Ghetto Novissimo
Ghetto Nuovo
Ghetto Vecchio
Ghetto Vecchio e Ghetto Nuovo
Ghiaccio
Giacinto Gallina
Giardini Pubblici
Giazzo
Gioachina
Giovanelli
Girardini
Giude cca Lana
Giusti
Giustinian
Giustiz ia Lardona
Gobbi
Goldoni
Gondulmèr
Gonella
Gorna
Gorne
Gozzi
Gradenigo
Gradenigo detti Chioverette
Gradisca
Grana
Grande
Grandiben
Grassi
Greca
Greci
Gregolin
Gregorina o del Quartier
Grifalconi
Grimana
Grimani
Gritti
Gritti e Martinengo
Groppi
Grue
Guardiani
Guerra
Guglie
Gustavo Modena
Gàffaro
Gàmbara o Quer ini
Gàmbaro
Incurabili
Indorador
Isola
Labia
Lacca
Lanza
Lanzoni
Larga
Latte
Lavadori
Lavaro
Lavezzara
Legnami
Leon Bianco
Leoni
Lezze
Librer
Licini
Limante
Lion Malpaga
Lipoli
Lista di Spagna
Lista vecchia dei bari Malvasia o Fiubera
Lizza Fusina
Locande
Locatelli
Lombardo
Longo
Loredan
Lotto
Lovisella
Lovo
Luca Zanco
Lucatella
Luganegher
Luganegher o del Traghetto
Luganegher o della Malvasia
Lunga
Lungo
Lustraferri
Macello
Maddalena
Madonna
Madonna dell’Orto
Madonnetta
Maffioletti
Magazén
Magazén Vecchio
Maggia
Maggioni
Maggiore
Magno
Mainetti
Majo
Malatina
Malcanton
Malibran
Malipiero
Maltese detta dei Risi Mendicanti
Malvasia
Malvasia vecchia
Mandolèr
Mandolìn
Manestra
Manganèr
Manin
Mappa
Maraffoni
Marangon
Maravégie
Marcello
Marcello o Pindemonte
Marco Foscarini
Marcona
Margaritera
Mariani
Marin
Marina
Marinoni
Marioni
Marte
Martin Novello
Martinengo dalle Palle
Martini
Maruzzi
Marzaria
Marzer
Maseràn
Matta
Mazzini
Mazzorana
Mazzorini
Meloni
Memmo o Loredan
Mende
Menùo
Mercanti
Merceria
Mettivia
Mezzo
Miani
Michiel
Michieli
Milion
Minelli
Minestra
Minio
Minotto
Miracoli
Misericordia
Mistra
Mocato
Mocenigo
Mocenigo Casa Nuova
Mocenigo Casa Vecchia
Modena
Modena Gustavo
Molin
Molo
Monastero
Moncato
Mondo Novo
Monti
Montorio
Mora
Morando
Moretta
Mori
Morion
Moro
Morolin
Morosina
Morosina de la Regina
Morosini
Morosini Francesco
Morosini e Pisani
Morte
Morti
Morto
Mortorio
Mosche
Moschette
Mosto
Mosto o dei Colori
Muazzo
Muneghe
Muneghette
Murèr
Mussato o Tasca
Muti
Muti o Baglioni
Màndola
Màsena
Mégio
Nani
Naranzerìa
Narisi
Nasolìn
Navaro
Nave
Navegara
Nazario Sauro
Nerini
Nicoli
Nicolosi
Nicolò Pasqualigo
Noal
Noris
Novello
Nuova
Nuove
Nuovo
Nuovo commercio
Nómboli
Nónzolo
Oca Panada
Occhialera
Occhio grosso
Oche
Ogio
Ognissanti
Ole Paralion
Olio Parangon
Olio o del Caffettier
Oratorio
Orbi
Orefici
Orese
Orfei
Ormesini
Orologio
Orseolo
Orsete
Orso
Orsoline
Orto
Oscura
Osmarin
Ospedaletto
Ospitale Pelle
Ospitaletto
Osteria della Campana
Ostreghe
Otturati
Pace
Padiglion
Padovani
Pagan
Paglia
Palada
Palazzo
Pali detta Testori
Paludo
Panateria
Papa
Papadopoli
Papafava o Tasca
Paradiso
Parrocchia
Parrucchetta
Parrucchier
Partido dei vedeli
Parucheta
Paruta
Pasina
Pasqualigo
Pasqualigo Nicolò
Passamonte
Passion
Pazienze
Peata
Pedrocchi
Pegoloto
Pellegrin
Penini
Penitenti
Pensieri
Perdon
Pergola
Perina
Perleri
Pesaro
Pescaria
Peschiera
Pestrin
Petole
Petriana
Pezzana
Piacentini
Pianto n
Piasentini
Piavola
Piazza
Piazza San Marco
Piccolo
Piere vive
Piero da Lièsina
Pietre vive o Bògnolo
Pietro da Liesina
Pietà
Pignate
Pignater
Pignatera
Pignoletto
Pignoli
Pii
Pin
Pin o della Scrimia
Pindemon te Pozzo Longo
Pinelli
Pio
Piombo
Piova
Piovan detto del Volto
Piovan o Gritti
Piovan o della Scoazzera
Piovene
Piovàn
Pirieta
Pisana
Pisani
Pisani e Barbarigo
Piscina
Piscina o Pe drocchi
Pisciutta
Pistor o del Lotto
Pistór
Pizzochere
Polacca
Polvere
Pomeri
Pometti
Pompea
Pompeo Molmenti
Ponte
Ponte delle Guglie
Ponte dell’Accademia
Ponte di Rialto
Pontèi
Portico scuro
Portinari
Portón
Posta
Poste Vecchie
Pozzetto
Pozzetto d’oro
Pozzo
Pozzo Roverso
Pozzo d’oro
Presepio
Prete Zoto
Preti
Preti detta del Dose
Preti detta del Pistor
Preti o Catula
Pre’ Maurizio
Prigioni
Priuli
Priuli detta dei Cavaleti
Procuratie
Propria
Proverbi
Pugliese
Pugnaletto
Pugni
Punta
Purità
Puti o Terrazzera
Pégola
Quar tier Rioda
Querini
Quintavalle
Rabbia
Racchetta
Raffineria
Ragusei
Ramo
Raspi
Raspi o Sansoni
Raspina
Rasse
Redentore
Redivo o delle Locande
Regata storica di Venezia
Regina
Regina d’Ungheria
Remurchianti
Remèr
Renier
Renier o del Pistor
Rezzonico
Rialto
Rialto Nuovo
Riccardo Selvatico
Richetti
Ridotto
Riello
Riformati
Righetti
Rigo
Rimedio
Rimurchianti
Rio Ma rin o dei Garzotti
Rio Marin
Rio S. Antonino
Rio Terrà
Riva S. Bartolomeo
Rivetta
Rizza
Rizzi
Rizzo
Roda
Rombiasio
Romi te S. Cassiano
Rosa
Rosario
Rosina
Rossa
Rossi
Rosso
Rota
Rota ora Campana
Rotonda
Rotta
Rotto
Rubbi
Rubina
Ruga
Ruga Bella
Ruga Giuffa
Rughetta
Ruzzini
Ràvano
Rùsolo o Canova
S. Agnese
S. Agostino
S. Alvise
S. Andrea
S. Angelo
S. Anna
S. Antonio
S. Apollonia
S. Aponal
S. Ba sso
S. Barnaba
S. Basegio
S. Biagio
S. Boldo
S. Bonaventura
S. Canciano
S. Caterina
S. Chiara
S. Cosmo
S. Cristoforo
S. Cristoforo vulgo M .dell’Orto
S. Danie le
S. Domenico
S. Eufemia
S. Fantino
S. Felice
S. Fosca S. Moisè
S. Francesco della Vigna
S. Francesco di Paola
S. Gaetano
S. Gallo
S. Geremia
S. Giacomo
S. Giacomo dall’Orio
S. Gioachino
S. Giobbe
S. Giovanni
S. Giovanni Decollato
S. Giovanni Gri sostomo
S. Giovanni Laterano
S. Giovanni Novo
S. Giovanni di Malta
S. Giovanni in Bragora
S. Girolamo
S. Giuseppe
S. Giustina
S. Leonardo
S. Lio
S. Lorenzo
S. Luca
S. Lucia
S. Marco
S. Marcuola
S. Margarita
S. Maria Formosa
S. Maria Maggiore
S. Maria Mater Domini
S. Maria Nova
S. Maria Zobenigo
S. Maria del Rosario
S. Marina
S. Marta
S. Martino
S. Marziale
S. Matteo
S. Maurizio
S. Nicoletto
S. Pantaleone
S. Paternian
S. Pietro
S. Polo
S. Pròvolo
S. Rocco
S. Samuele
S. Scolastica
S. Sebastiano
S. Severo
S. Silvestro
S. Sim eone Piccolo
S. Simeone Grande
S. Sofia
S. Stae
S. Stefano
S. Stin
S. Teodoro
S. Tomà
S. Trovaso
S. Tèrnita
S. Vidal
S. Vio
S. Vitale
S. Zaccaria
S. Zan Degolà
S. Zorzi
S. Zuane
SS. Apostoli
SS. Ermagora e Fortunato
SS. Filippo e Giacomo
SS. Gervasio e Protasio
SS. Giovanni e Paolo
SS. Salvatore
Sabbioncella
Sabbionera
Sabbioni
Sabbión
Sacca
Sacco
Sacrestia
Sagredo
Salamon
Salizzada
Saloni
Salute
Salviati
Salvioni
Salvàdego
San Giovanni
San Giuliano
San Gregorio
Sangiantoffetti
Sangue o Brochetta
Sansoni
Santa
Santi
Santissimo
Santo
Santorio
Sanudo
Saoneri
Saoneria
Saponella
Sarasina
Sartori
Sartorio
Savie
Savorgnan
Sbiaca
Sbianchesini
Scacco
Scala Matta
Scale
Scaletta
Scaletèr
Scalzi
Schiavine
Schiavolina
Schiavona
Schiavoncina
Schiavoni
Scimia
Scimia o delle Spade
Scoacamini
Scoazzera
Scotti
Scrimia
Scudi
Scuola
Scuola dei Fabbri
Scuole
Scura
Secchera
Secchere
Segretari
Selvatico
Semenzi
Sensa
Sepolcr o
Seriman
Sernagiotto
Servi
Servo
Sestiere
Sestieri
Seta
Sforza
Sicurtà
Soccorso
Soldà
Sole
Soranzo
Soranzo detta Correr
Soranzo detta Fornace
Sottoportici
Sottoportico
Sottoportico Scuro
Spadaria
Spade
Spagna
Specchiera
Specchieri
Speron
Speziali
Spezier
Spezier detta della Chiesa
Spini
Spiriti
Spirito Santo
Spiron d’oro
Spizier
Sponza
Sporca o Vallaressa
Squartai
Squelini
Squero
Squero o dei Nicolosi
Squero vecchio
Stagneri
Stampador
Stella
Stellon detta della Testa
Stendardo
Stivaletto
Storto
Storto o Pinelli
Strada Nova
Strada ferrata
Stradon
Stramazzer o Sernagiotto
Strazzarol
Strazze
Stretta
Stroppe
Stua Toletta
Stupenda
Sturion
Surian
Surlin
Tabacchi
Tabacco o del Figher
Tagliacalze
Tagliapietra
Taiai
Tamossi
Tana
Tapezzier
Teatro
Teatro Vecchio
Teatro o Lavezzara
Tedeschi
Tedeum
Terco
Terese
Terrazza
Terrazzera
Terren
Testa
Testori
Tetta
Tette
Tiepolo
Tiepolo Giambattista
Tintor
Tintoretto
Tintori
Tiozzi
Tiziano
Todeschini
Toffetti
Tole Vecchia
Tolentini
Tonda
Torni
Tornielli
Torre
Torreselle
Torretta
Toscana
Traghetto
Traghetto Vecchio
Tramezina
Tramontin o Basadonna
Trapolin
Trasti
Tre Archi
Tre Croci
Tre Ponti
Tremosina
Trevisan
Trevisana
Trevisani
Tron
Tron o della Piavola
Turchette
Turlona
Ufficio della Seta
Ugo Foscolo
Umiltà
Uva Volto Santo
Vallaresso
Valmarana
Van Axel
Varisca
Vecchi
Vele
Vendramin
Veneta Marina
Veneziana
Venier
Venier e Balbi
Veniera
Ventidue Marzo
Vento
Venzata o del Caustico
Verde
Vergini
Veriera
Verona
Verrocchio
Vesiga
Veste
Vicenza
Vida
Vida o delle Locande
Vidman
Vigna
Vin
Vinanti
Vissiga
Vitalba
Vitelli
Vittorio Emanuele
Vitturi
Vérgola
Vòlti
Widman
Zaguri
Zambelli
Zamboni
Zaminghi
Zan del Verme
Zanardi
Zancana
Zane
Zanetti
Zappa
Zattere
Zavater
Zecchini
Zen
Zinelli
Zio
Zitelle
Zocchi
Zoccolo
Zogia
Zon
Zorzi
Zorzi o Bragadin
Zotte
Zotti
Zucchero
Zudìo
Zulian
Zurlin
Zusto
